,u,v,sim
53,n_sdg14_cpma,n_sdg16_justice,0.3902439024390244
54,n_sdg14_discard,n_sdg14_trawl,0.6206896551724138
55,n_sdg14_discard,n_sdg17_sprofits,0.5230769230769231
56,n_sdg15_forchg,n_sdg16_u5reg,0.7891156462585034
57,n_sdg15_forchg,n_sdg3_fertility,0.7746478873239436
58,n_sdg15_forchg,n_sdg3_matmort,0.7636363636363637
59,n_sdg15_impdefor,n_sdg8_impacc,0.9035532994923858
60,n_sdg15_impdefor,n_sdg16_weaponsexp,0.8159203980099502
61,n_sdg15_impdefor,n_sdg17_sprofits,0.8215767634854771
62,n_sdg15_redlist,n_sdg5_lfpr,0.5952380952380952
63,n_sdg16_admin,n_sdg16_cpi,0.6976744186046512
64,n_sdg16_clabor,n_sdg3_tb,0.7631578947368421
65,n_sdg16_clabor,n_sdg16_rsf,0.7027027027027027
66,n_sdg16_clabor,n_sdg8_accounts,0.7578947368421053
67,n_sdg16_cpi,n_sdg3_pollmort,0.8148148148148148
68,n_sdg16_cpi,n_sdg16_exprop,0.8070175438596491
69,n_sdg16_cpi,n_sdg8_rights,0.7017543859649122
70,n_sdg16_cpi,n_sdg9_rdex,0.7692307692307693
71,n_sdg16_detain,n_sdg9_mobuse,0.7160493827160493
72,n_sdg16_detain,n_sdg2_undernsh,0.7037037037037037
73,n_sdg16_exprop,n_sdg8_rights,0.7586206896551724
74,n_sdg16_exprop,n_sdg16_justice,0.6785714285714286
75,n_sdg16_exprop,n_sdg3_pollmort,0.7272727272727273
76,n_sdg16_homicides,n_sdg9_articles,0.7962962962962963
77,n_sdg16_homicides,n_sdg6_sanita,0.7666666666666667
78,n_sdg16_security,n_sdg2_stunting,0.7889908256880734
79,n_sdg16_security,n_sdg8_adjgrowthi,0.5714285714285714
80,n_sdg16_security,n_sdg1_lmicpov,0.7747747747747747
81,n_sdg16_security,n_sdg9_intuse,0.7596899224806202
82,n_sdg16_u5reg,n_sdg3_matmort,0.8837209302325582
83,n_sdg16_u5reg,n_sdg3_fertility,0.8590604026845637
84,n_sdg16_u5reg,n_sdg3_births,0.8
85,n_sdg16_u5reg,n_sdg4_primary,0.7516778523489933
86,n_sdg16_u5reg,n_sdg3_vac,0.7105263157894737
87,n_sdg16_u5reg,n_sdg7_elecac,0.872093023255814
88,n_sdg16_u5reg,n_sdg9_intuse,0.8701298701298701
89,n_sdg16_weaponsexp,n_sdg8_impacc,0.8686868686868687
90,n_sdg17_cohaven,n_sdg17_sprofits,0.9745454545454545
91,n_sdg17_cohaven,n_sdg8_impacc,0.8311688311688312
92,n_sdg17_cohaven,n_sdg5_lfpr,0.7404255319148936
93,n_sdg17_cohaven,n_sdg6_freshwat,0.7359307359307359
94,n_sdg17_govex,n_sdg3_uhc,0.75
95,n_sdg17_govex,n_sdg8_slavery,0.6511627906976745
96,n_sdg17_sprofits,n_sdg6_freshwat,0.7647058823529411
97,n_sdg17_sprofits,n_sdg2_wasting,0.7642276422764228
98,n_sdg17_sprofits,n_sdg5_lfpr,0.7603305785123967
99,n_sdg17_sprofits,n_sdg8_unemp,0.6197183098591549
100,n_sdg17_statperf,n_sdg9_intuse,0.8142857142857143
101,n_sdg17_statperf,n_sdg4_preprim,0.7899159663865546
102,n_sdg17_statperf,n_sdg3_neonat,0.7948717948717948
103,n_sdg17_statperf,n_sdg8_accounts,0.8135593220338984
104,n_sdg1_lmicpov,n_sdg1_wpc,0.8805970149253731
105,n_sdg1_lmicpov,n_sdg4_preprim,0.782608695652174
