,id,indicator,m_cp,Название на русском
171,LAO,n_sdg1_lmicpov,0,Лаос
172,LKA,n_sdg1_lmicpov,0,Шри-Ланка
173,MMR,n_sdg1_lmicpov,0,Мьянма
174,NIC,n_sdg1_lmicpov,0,Никарагуа
175,PAK,n_sdg1_lmicpov,0,Пакистан
176,PRK,n_sdg1_lmicpov,0,Корея (КНДР)
177,RUS,n_sdg1_lmicpov,1,Россия
178,RWA,n_sdg1_lmicpov,0,Руанда
179,SAU,n_sdg1_lmicpov,0,Саудовская Аравия
180,SDN,n_sdg1_lmicpov,0,Судан
181,SYR,n_sdg1_lmicpov,0,Сирия
182,TJK,n_sdg1_lmicpov,0,Таджикистан
183,TKM,n_sdg1_lmicpov,0,Туркменистан
184,UGA,n_sdg1_lmicpov,0,Уганда
185,UZB,n_sdg1_lmicpov,0,Узбекистан
186,VEN,n_sdg1_lmicpov,0,Венесуэла
187,VNM,n_sdg1_lmicpov,0,Вьетнам
188,YEM,n_sdg1_lmicpov,0,Йеменская Арабская Республика
189,GTM,n_sdg1_lmicpov,0,Гватемала
190,LBY,n_sdg1_lmicpov,0,Ливия
191,SOM,n_sdg1_lmicpov,0,Сомали
192,SLV,n_sdg1_lmicpov,0,Эль-Сальвадор
193,OMN,n_sdg1_lmicpov,0,Оман
194,COD,n_sdg1_lmicpov,0,Демократическая Республика Конго
195,LBN,n_sdg1_lmicpov,0,Ливан
196,CMR,n_sdg1_lmicpov,0,Камерун
197,PER,n_sdg1_lmicpov,0,Перу
198,TUN,n_sdg1_lmicpov,1,Тунис
199,KWT,n_sdg1_lmicpov,0,Кувейт
200,IDN,n_sdg1_lmicpov,0,Индонезия
201,DZA,n_sdg1_lmicpov,1,Алжир
202,BDI,n_sdg1_lmicpov,0,Бурунди
203,MEX,n_sdg1_lmicpov,0,Мексика
204,SGP,n_sdg1_lmicpov,0,Сингапур
205,NGA,n_sdg1_lmicpov,0,Нигерия
206,TGO,n_sdg1_lmicpov,0,Того
207,MAR,n_sdg1_lmicpov,0,Марокко
208,MLI,n_sdg1_lmicpov,0,Мали
209,GNQ,n_sdg1_lmicpov,0,Экватор. Гвинея
210,KEN,n_sdg1_lmicpov,0,Кения
211,PHL,n_sdg1_lmicpov,0,Филиппины
212,COL,n_sdg1_lmicpov,0,Колумбия
213,GEO,n_sdg1_lmicpov,0,Грузия
214,MDG,n_sdg1_lmicpov,0,Мадагаскар
215,ISR,n_sdg1_lmicpov,1,Израиль
216,SSD,n_sdg1_lmicpov,0,Южный Судан
217,TCD,n_sdg1_lmicpov,0,Чад
218,LSO,n_sdg1_lmicpov,0,Лесото
219,ZWE,n_sdg1_lmicpov,0,Зимбабве
220,BFA,n_sdg1_lmicpov,0,Буркина-Фасо
221,GIN,n_sdg1_lmicpov,0,Гвинея
222,MNG,n_sdg1_lmicpov,1,Монголия
223,MOZ,n_sdg1_lmicpov,0,Мозамбик
224,AGO,n_sdg1_lmicpov,0,Ангола
225,SWZ,n_sdg1_lmicpov,0,Свазиленд
226,BRN,n_sdg1_lmicpov,0,Бруней
227,SRB,n_sdg1_lmicpov,1,Сербия
228,TZA,n_sdg1_lmicpov,0,Танзания
229,ECU,n_sdg1_lmicpov,0,Эквадор
230,BOL,n_sdg1_lmicpov,0,Боливия
231,BEN,n_sdg1_lmicpov,0,Бенин
232,NPL,n_sdg1_lmicpov,0,Непал
233,GRC,n_sdg1_lmicpov,1,Греция
234,MYS,n_sdg1_lmicpov,1,Малайзия
235,ARG,n_sdg1_lmicpov,0,Аргентина
236,BIH,n_sdg1_lmicpov,1,Босния и Герцеговина
237,THA,n_sdg1_lmicpov,1,Таиланд
238,PRY,n_sdg1_lmicpov,0,Парагвай
239,NER,n_sdg1_lmicpov,0,Нигер
240,ZMB,n_sdg1_lmicpov,0,Замбия
241,BWA,n_sdg1_lmicpov,0,Ботсвана
242,ALB,n_sdg1_lmicpov,1,Албания
243,QAT,n_sdg1_lmicpov,1,Катар
244,CYP,n_sdg1_lmicpov,1,Кипр
245,MWI,n_sdg1_lmicpov,0,Малави
246,SEN,n_sdg1_lmicpov,0,Сенегал
247,CAF,n_sdg1_lmicpov,0,Центр.Афр.Респуб.
248,COG,n_sdg1_lmicpov,0,Республика Конго
249,BGR,n_sdg1_lmicpov,1,Болгария
250,CHL,n_sdg1_lmicpov,1,Чили
251,HUN,n_sdg1_lmicpov,1,Венгрия
252,MLT,n_sdg1_lmicpov,1,Мальта
253,JPN,n_sdg1_lmicpov,1,Япония
254,CIV,n_sdg1_lmicpov,0,Кот Д'Ивуар
255,BRA,n_sdg1_lmicpov,0,Бразилия
256,UKR,n_sdg1_lmicpov,0,Украина
257,KOR,n_sdg1_lmicpov,1,Корея, Республика
258,HRV,n_sdg1_lmicpov,1,Хорватия
259,URY,n_sdg1_lmicpov,1,Уругвай
260,GMB,n_sdg1_lmicpov,0,Гамбия
261,USA,n_sdg1_lmicpov,1,США
262,SLE,n_sdg1_lmicpov,0,Сьерра-Леоне
263,ROU,n_sdg1_lmicpov,1,Румыния
264,LBR,n_sdg1_lmicpov,0,Либерия
265,PAN,n_sdg1_lmicpov,0,Панама
266,GHA,n_sdg1_lmicpov,0,Гана
267,MRT,n_sdg1_lmicpov,0,Мавритания
268,ITA,n_sdg1_lmicpov,1,Италия
269,MKD,n_sdg1_lmicpov,0,Северная Македония
270,GAB,n_sdg1_lmicpov,0,Габон
271,SVK,n_sdg1_lmicpov,1,Словакия
272,MNE,n_sdg1_lmicpov,1,Черногория
273,CRI,n_sdg1_lmicpov,0,Коста-Рика
274,MDA,n_sdg1_lmicpov,1,Молдова, Республика
275,ARM,n_sdg1_lmicpov,0,Армения
276,SVN,n_sdg1_lmicpov,1,Словения
277,POL,n_sdg1_lmicpov,1,Польша
278,AUS,n_sdg1_lmicpov,1,Австралия
279,NAM,n_sdg1_lmicpov,0,Намибия
280,ZAF,n_sdg1_lmicpov,0,Южно-Африканская Республика
281,FRA,n_sdg1_lmicpov,1,Монако
282,ESP,n_sdg1_lmicpov,1,Испания
283,AUT,n_sdg1_lmicpov,1,Австрия
284,CAN,n_sdg1_lmicpov,1,Канада
285,GBR,n_sdg1_lmicpov,1,Великобритания
286,BEL,n_sdg1_lmicpov,1,Бельгия
287,ISL,n_sdg1_lmicpov,1,Исландия
288,NZL,n_sdg1_lmicpov,0,Новая Зеландия
289,LVA,n_sdg1_lmicpov,1,Латвия
290,LTU,n_sdg1_lmicpov,1,Литва
291,TUR,n_sdg1_lmicpov,1,Турция
292,LUX,n_sdg1_lmicpov,1,Люксембург
293,DEU,n_sdg1_lmicpov,1,Германия
294,CZE,n_sdg1_lmicpov,1,Чешская Республика
295,CHE,n_sdg1_lmicpov,1,Швейцария
296,PRT,n_sdg1_lmicpov,1,Португалия
297,IRL,n_sdg1_lmicpov,1,Ирландия
298,DNK,n_sdg1_lmicpov,1,Дания
299,FIN,n_sdg1_lmicpov,1,Финляндия
300,EST,n_sdg1_lmicpov,1,Эстония
301,NLD,n_sdg1_lmicpov,1,Нидерланды
302,NOR,n_sdg1_lmicpov,1,Норвегия
303,SWE,n_sdg1_lmicpov,1,Швеция
304,AFG,n_sdg2_undernsh,0,Афганистан
305,ARE,n_sdg2_undernsh,1,ОАЭ
306,AZE,n_sdg2_undernsh,1,Азербайджан
307,BGD,n_sdg2_undernsh,0,Бангладеш
308,BLR,n_sdg2_undernsh,1,Беларусь
309,BTN,n_sdg2_undernsh,0,Бутан
310,CHN,n_sdg2_undernsh,1,КНР
311,DJI,n_sdg2_undernsh,0,Джибути
312,EGY,n_sdg2_undernsh,0,Египет
313,ERI,n_sdg2_undernsh,0,Эритрея
314,ETH,n_sdg2_undernsh,0,Эфиопия
315,HND,n_sdg2_undernsh,0,Гондурас
316,IND,n_sdg2_undernsh,0,Индия
317,IRN,n_sdg2_undernsh,1,Иран
318,IRQ,n_sdg2_undernsh,0,Ирак
319,JOR,n_sdg2_undernsh,0,Иордания
320,KAZ,n_sdg2_undernsh,1,Казахстан
321,KGZ,n_sdg2_undernsh,1,Кыргызстан 
322,KHM,n_sdg2_undernsh,1,Камбоджа
323,LAO,n_sdg2_undernsh,1,Лаос
324,LKA,n_sdg2_undernsh,1,Шри-Ланка
325,MMR,n_sdg2_undernsh,1,Мьянма
326,NIC,n_sdg2_undernsh,0,Никарагуа
327,PAK,n_sdg2_undernsh,0,Пакистан
328,PRK,n_sdg2_undernsh,0,Корея (КНДР)
329,RUS,n_sdg2_undernsh,1,Россия
330,RWA,n_sdg2_undernsh,0,Руанда
331,SAU,n_sdg2_undernsh,1,Саудовская Аравия
332,SDN,n_sdg2_undernsh,0,Судан
333,SYR,n_sdg2_undernsh,0,Сирия
334,TJK,n_sdg2_undernsh,0,Таджикистан
335,TKM,n_sdg2_undernsh,1,Туркменистан
336,UGA,n_sdg2_undernsh,0,Уганда
337,UZB,n_sdg2_undernsh,1,Узбекистан
338,VEN,n_sdg2_undernsh,0,Венесуэла
339,VNM,n_sdg2_undernsh,1,Вьетнам
340,YEM,n_sdg2_undernsh,0,Йеменская Арабская Республика
341,GTM,n_sdg2_undernsh,0,Гватемала
342,LBY,n_sdg2_undernsh,0,Ливия
343,SOM,n_sdg2_undernsh,0,Сомали
344,SLV,n_sdg2_undernsh,1,Эль-Сальвадор
345,OMN,n_sdg2_undernsh,1,Оман
346,COD,n_sdg2_undernsh,0,Демократическая Республика Конго
347,LBN,n_sdg2_undernsh,0,Ливан
348,CMR,n_sdg2_undernsh,1,Камерун
349,PER,n_sdg2_undernsh,1,Перу
350,TUN,n_sdg2_undernsh,1,Тунис
351,KWT,n_sdg2_undernsh,1,Кувейт
352,IDN,n_sdg2_undernsh,1,Индонезия
353,DZA,n_sdg2_undernsh,1,Алжир
354,BDI,n_sdg2_undernsh,0,Бурунди
355,MEX,n_sdg2_undernsh,1,Мексика
356,SGP,n_sdg2_undernsh,1,Сингапур
357,NGA,n_sdg2_undernsh,0,Нигерия
358,TGO,n_sdg2_undernsh,0,Того
359,MAR,n_sdg2_undernsh,1,Марокко
360,MLI,n_sdg2_undernsh,0,Мали
361,GNQ,n_sdg2_undernsh,0,Экватор. Гвинея
362,KEN,n_sdg2_undernsh,0,Кения
363,PHL,n_sdg2_undernsh,1,Филиппины
364,COL,n_sdg2_undernsh,1,Колумбия
365,GEO,n_sdg2_undernsh,1,Грузия
366,MDG,n_sdg2_undernsh,0,Мадагаскар
367,ISR,n_sdg2_undernsh,1,Израиль
368,SSD,n_sdg2_undernsh,0,Южный Судан
369,TCD,n_sdg2_undernsh,0,Чад
370,LSO,n_sdg2_undernsh,0,Лесото
371,ZWE,n_sdg2_undernsh,0,Зимбабве
372,BFA,n_sdg2_undernsh,0,Буркина-Фасо
373,GIN,n_sdg2_undernsh,0,Гвинея
374,MNG,n_sdg2_undernsh,1,Монголия
375,MOZ,n_sdg2_undernsh,0,Мозамбик
376,AGO,n_sdg2_undernsh,0,Ангола
377,SWZ,n_sdg2_undernsh,0,Свазиленд
378,BRN,n_sdg2_undernsh,1,Бруней
379,SRB,n_sdg2_undernsh,1,Сербия
380,TZA,n_sdg2_undernsh,0,Танзания
381,ECU,n_sdg2_undernsh,0,Эквадор
382,BOL,n_sdg2_undernsh,0,Боливия
383,BEN,n_sdg2_undernsh,0,Бенин
384,NPL,n_sdg2_undernsh,1,Непал
385,GRC,n_sdg2_undernsh,1,Греция
386,MYS,n_sdg2_undernsh,1,Малайзия
387,ARG,n_sdg2_undernsh,1,Аргентина
388,BIH,n_sdg2_undernsh,1,Босния и Герцеговина
389,THA,n_sdg2_undernsh,1,Таиланд
390,PRY,n_sdg2_undernsh,1,Парагвай
391,NER,n_sdg2_undernsh,0,Нигер
392,ZMB,n_sdg2_undernsh,0,Замбия
393,BWA,n_sdg2_undernsh,0,Ботсвана
394,ALB,n_sdg2_undernsh,1,Албания
395,QAT,n_sdg2_undernsh,1,Катар
396,CYP,n_sdg2_undernsh,1,Кипр
397,MWI,n_sdg2_undernsh,0,Малави
398,SEN,n_sdg2_undernsh,1,Сенегал
399,CAF,n_sdg2_undernsh,0,Центр.Афр.Респуб.
400,COG,n_sdg2_undernsh,0,Республика Конго
401,BGR,n_sdg2_undernsh,1,Болгария
402,CHL,n_sdg2_undernsh,1,Чили
403,HUN,n_sdg2_undernsh,1,Венгрия
404,MLT,n_sdg2_undernsh,1,Мальта
405,JPN,n_sdg2_undernsh,1,Япония
406,CIV,n_sdg2_undernsh,0,Кот Д'Ивуар
407,BRA,n_sdg2_undernsh,1,Бразилия
408,UKR,n_sdg2_undernsh,1,Украина
409,KOR,n_sdg2_undernsh,1,Корея, Республика
410,HRV,n_sdg2_undernsh,1,Хорватия
411,URY,n_sdg2_undernsh,1,Уругвай
412,GMB,n_sdg2_undernsh,0,Гамбия
413,USA,n_sdg2_undernsh,1,США
414,SLE,n_sdg2_undernsh,0,Сьерра-Леоне
415,ROU,n_sdg2_undernsh,1,Румыния
416,LBR,n_sdg2_undernsh,0,Либерия
417,PAN,n_sdg2_undernsh,1,Панама
418,GHA,n_sdg2_undernsh,1,Гана
419,MRT,n_sdg2_undernsh,0,Мавритания
420,ITA,n_sdg2_undernsh,1,Италия
421,MKD,n_sdg2_undernsh,1,Северная Македония
422,GAB,n_sdg2_undernsh,0,Габон
423,SVK,n_sdg2_undernsh,1,Словакия
424,MNE,n_sdg2_undernsh,1,Черногория
425,CRI,n_sdg2_undernsh,1,Коста-Рика
426,MDA,n_sdg2_undernsh,1,Молдова, Республика
427,ARM,n_sdg2_undernsh,1,Армения
428,SVN,n_sdg2_undernsh,1,Словения
429,POL,n_sdg2_undernsh,1,Польша
430,AUS,n_sdg2_undernsh,1,Австралия
431,NAM,n_sdg2_undernsh,0,Намибия
432,ZAF,n_sdg2_undernsh,0,Южно-Африканская Республика
433,FRA,n_sdg2_undernsh,1,Монако
434,ESP,n_sdg2_undernsh,1,Испания
435,AUT,n_sdg2_undernsh,1,Австрия
436,CAN,n_sdg2_undernsh,1,Канада
437,GBR,n_sdg2_undernsh,1,Великобритания
438,BEL,n_sdg2_undernsh,1,Бельгия
439,ISL,n_sdg2_undernsh,1,Исландия
440,NZL,n_sdg2_undernsh,1,Новая Зеландия
441,LVA,n_sdg2_undernsh,1,Латвия
442,LTU,n_sdg2_undernsh,1,Литва
443,TUR,n_sdg2_undernsh,1,Турция
444,LUX,n_sdg2_undernsh,1,Люксембург
445,DEU,n_sdg2_undernsh,1,Германия
446,CZE,n_sdg2_undernsh,1,Чешская Республика
447,CHE,n_sdg2_undernsh,1,Швейцария
